file,row_index,customer_id,field,original_value,degraded_value,category,reason
customers,91880,C334199,phone,+90 508 976 4923,NULL,missing_data,Random null injection (6%)
customers,66899,C232426,phone,+1 926-267-1648,NULL,missing_data,Random null injection (6%)
customers,20865,C212976,phone,+90 574 653 2477,NULL,missing_data,Random null injection (6%)
customers,66579,C213426,phone,+90 522 556 6842,NULL,missing_data,Random null injection (6%)
customers,68111,C222583,phone,+90 598 215 9933,NULL,missing_data,Random null injection (6%)
customers,60895,C288241,phone,+90 529 769 5985,NULL,missing_data,Random null injection (6%)
customers,79138,C163505,phone,+49 169 6165408,NULL,missing_data,Random null injection (6%)
customers,92584,C452919,phone,+90 528 462 7816,NULL,missing_data,Random null injection (6%)
customers,90747,C125291,phone,+90 533 529 7159,NULL,missing_data,Random null injection (6%)
customers,95118,C222516,phone,+90 513 169 3751,NULL,missing_data,Random null injection (6%)
customers,70302,C201162,phone,+1 289-837-1854,NULL,missing_data,Random null injection (6%)
customers,93400,C169709,phone,+1 406-594-4636,NULL,missing_data,Random null injection (6%)
customers,42634,C146578,phone,+90 595 154 7401,NULL,missing_data,Random null injection (6%)
customers,70637,C306519,phone,+1 332-649-1627,NULL,missing_data,Random null injection (6%)
customers,83592,C110577,phone,+90 549 480 2796,NULL,missing_data,Random null injection (6%)
customers,45914,C135923,phone,+90 527 725 5783,NULL,missing_data,Random null injection (6%)
customers,31901,C110052,phone,+1 717-571-8668,NULL,missing_data,Random null injection (6%)
customers,30677,C210939,phone,+90 555 388 6088,NULL,missing_data,Random null injection (6%)
customers,80202,C253971,phone,+1 687-677-8096,NULL,missing_data,Random null injection (6%)
customers,10907,C330670,phone,+90 542 954 3202,NULL,missing_data,Random null injection (6%)
customers,34842,C242498,phone,+90 584 635 2838,NULL,missing_data,Random null injection (6%)
customers,75041,C271166,phone,+90 540 989 3658,NULL,missing_data,Random null injection (6%)
customers,44800,C179897,phone,+90 575 766 5869,NULL,missing_data,Random null injection (6%)
customers,21526,C111393,phone,+90 576 805 8466,NULL,missing_data,Random null injection (6%)
customers,27880,C100783,phone,+90 547 353 7073,NULL,missing_data,Random null injection (6%)
customers,58282,C985173,phone,+90 565 900 4399,NULL,missing_data,Random null injection (6%)
customers,38282,C533483,phone,+90 592 580 7717,NULL,missing_data,Random null injection (6%)
customers,76053,C301501,phone,+1 703-832-2306,NULL,missing_data,Random null injection (6%)
customers,43037,C726840,phone,+90 569 277 6876,NULL,missing_data,Random null injection (6%)
customers,86744,C223212,phone,+90 541 648 2742,NULL,missing_data,Random null injection (6%)
customers,58245,C123338,phone,+90 576 155 2659,NULL,missing_data,Random null injection (6%)
customers,87948,C469779,phone,+90 561 360 8701,NULL,missing_data,Random null injection (6%)
customers,25309,C405362,phone,+90 579 865 2568,NULL,missing_data,Random null injection (6%)
customers,83617,C714346,phone,+90 584 381 4924,NULL,missing_data,Random null injection (6%)
customers,29644,C326851,phone,+90 567 331 8175,NULL,missing_data,Random null injection (6%)
customers,70797,C287170,phone,+90 515 492 5179,NULL,missing_data,Random null injection (6%)
customers,79990,C282606,phone,+90 554 248 5847,NULL,missing_data,Random null injection (6%)
customers,86385,C109197,phone,+90 572 836 8069,NULL,missing_data,Random null injection (6%)
customers,40052,C799583,phone,+90 512 828 3025,NULL,missing_data,Random null injection (6%)
customers,94497,C169732,phone,+90 544 220 7942,NULL,missing_data,Random null injection (6%)
customers,32573,C245630,phone,+90 564 968 5256,NULL,missing_data,Random null injection (6%)
customers,56653,C587808,phone,+90 510 398 9814,NULL,missing_data,Random null injection (6%)
customers,61892,C257945,phone,+90 531 773 3710,NULL,missing_data,Random null injection (6%)
customers,16920,C309233,phone,+90 547 631 5392,NULL,missing_data,Random null injection (6%)
customers,59239,C190022,phone,+90 557 132 3748,NULL,missing_data,Random null injection (6%)
customers,58092,C106729,phone,+90 506 840 8340,NULL,missing_data,Random null injection (6%)
customers,32056,C102559,phone,+90 554 267 7992,NULL,missing_data,Random null injection (6%)
customers,28975,C816249,phone,+90 519 245 4771,NULL,missing_data,Random null injection (6%)
customers,93337,C206530,phone,+90 518 991 8467,NULL,missing_data,Random null injection (6%)
customers,97311,C437895,phone,+90 559 704 4671,NULL,missing_data,Random null injection (6%)
customers,58331,C538434,phone,+90 534 195 8487,NULL,missing_data,Random null injection (6%)
customers,67478,C123960,phone,+90 575 744 6303,NULL,missing_data,Random null injection (6%)
customers,13137,C106906,phone,+90 580 754 3666,NULL,missing_data,Random null injection (6%)
customers,8729,C925057,phone,+1 612-794-4088,NULL,missing_data,Random null injection (6%)
customers,37656,C334264,phone,+1 916-378-1789,NULL,missing_data,Random null injection (6%)
customers,27549,C560761,phone,+90 527 963 8604,NULL,missing_data,Random null injection (6%)
customers,21767,C252344,phone,+1 334-216-8323,NULL,missing_data,Random null injection (6%)
customers,5453,C244227,phone,+90 522 482 2280,NULL,missing_data,Random null injection (6%)
customers,30085,C304984,phone,+90 544 439 7020,NULL,missing_data,Random null injection (6%)
customers,79404,C457998,phone,+90 583 359 2772,NULL,missing_data,Random null injection (6%)
customers,88383,C318337,phone,+90 544 517 1861,NULL,missing_data,Random null injection (6%)
customers,45487,C590654,phone,+90 542 138 1216,NULL,missing_data,Random null injection (6%)
customers,25759,C276125,phone,+90 500 832 4243,NULL,missing_data,Random null injection (6%)
customers,59745,C249241,phone,+90 581 425 1738,NULL,missing_data,Random null injection (6%)
customers,95658,C783116,phone,+90 544 820 5003,NULL,missing_data,Random null injection (6%)
customers,25702,C184508,phone,+90 571 878 7643,NULL,missing_data,Random null injection (6%)
customers,60005,C297903,phone,+90 582 292 5693,NULL,missing_data,Random null injection (6%)
customers,91904,C792513,phone,+90 504 578 7236,NULL,missing_data,Random null injection (6%)
customers,215,C256730,phone,+90 546 737 9167,NULL,missing_data,Random null injection (6%)
customers,16012,C943376,phone,+49 178 7862881,NULL,missing_data,Random null injection (6%)
customers,34585,C286336,phone,+49 166 1529998,NULL,missing_data,Random null injection (6%)
customers,12245,C272087,phone,+90 513 884 7278,NULL,missing_data,Random null injection (6%)
customers,68865,C185223,phone,+90 582 762 6843,NULL,missing_data,Random null injection (6%)
customers,95571,C134325,phone,+90 510 376 1288,NULL,missing_data,Random null injection (6%)
customers,70436,C762218,phone,+1 655-759-4515,NULL,missing_data,Random null injection (6%)
