customer_id,first_name,last_name,street,city,region,postal_code,country,phone,email,tax_id,account_group,sales_org,distribution_channel,division,currency,payment_terms,credit_limit,language,created_date,gender,age,payment_method,_duplicate,reject_reason
C302069,Nicole,Hatfield,48251 Karen Roads Apt. 946,North Lisa,North Laurieland,80856,FR,,,FR82803906347,ZKAM,2000,10,00,EUR,NT00,0.0,EN,2022-04-01,F,53.0,Cash,False,R1: no phone or email
C157693,,Gül,5217 Yaman Tunnel Suite 226,Gaziantep,,85847,TR,+905974806568,soykut.gül@icloud.com,79335757881,Z001,1000,10,00,TRY,NT45,0.0,TR,2020-04-27,F,58.0,Cash,False,missing first_name
C393584,rene,,Kadegasse 2,Querfurt,Hamburg,85867,DE,+491591755977,rene.mosemann@icloud.com,75934204949,ZKAM,2000,10,10,EUR,NT00,0.0,DE,2021-09-19,M,33.0,Credit Card,False,missing last_name
C258369,Carmela,Textor,Ramon-Austermühle-Gasse 2/3,Aurich,,61853,,+491565172556,carmela.textor@outlook.com,49346027965,Z001,2000,10,00,EUR,NT30,0.0,DE,2023-09-25,F,52.0,Debit Card,False,R3: missing country
C235079,,Sakarya,82655 Aksay Valley Suite 288,Ankara,Black Sea,37754,TR,+905825707462,çopur.sakarya@gmail.com,50765535091,Z001,2000,10,00,TRY,NT00,0.0,TR,2022-11-06,F,64.0,Credit Card,False,missing first_name
C122062,,Erdoğan,796 Aydar Curve,Istanbul,Marmara,39039,TR,+905125806578,akçabay.erdoğan@hotmail.com,21532344786,Z001,1000,10,00,TRY,NT30,0.0,TR,2020-01-22,F,65.0,Cash,False,missing first_name
C144448,Nuriyet,,5044 ÃzÃ§am Rapids Apt. 790,Izmir,Black Sea,74515,TR,+905711672593,nuriyet.durmuş@hotmail.com,32712391207,ZKAM,2000,10,00,TRY,NT30,1000.0,TR,2023-12-31,M,37.0,Cash,False,missing last_name
C597043,Sibilla,Schlosser,Stefanie-Ruppert-Allee 5,Sebnitz,,30794,,+491721894755,sibilla.schlosser@hotmail.com,52062881932,Z001,1000,10,00,EUR,NT00,25000.0,DE,2022-06-02,M,33.0,Cash,False,R3: missing country
C322042,Ahsen,Demirel,3684 Şendoğan Garden,Bursa,Marmara,28268,,+905472792696,ahsen.demirel@hotmail.com,,Z001,2000,10,00,TRY,NT00,0.0,TR,2021-06-16,F,49.0,Credit Card,False,R3: missing country
C238422,Baydu,,1889 Sezgin Freeway Suite 093,Bursa,Central Anatolia,14050,TR,05597535161,baydu.çorlu@hotmail.com,21976614125,Z001,3000,10,00,TRY,NT15,5000.0,TR,2024-05-02,F,49.0,Debit Card,False,missing last_name
C335403,,Şensoy,2411 Akatay Highway,Ankara,Aegean,24023,TR,+905898081904,fazul.şensoy@yahoo.com,70299077663,ZKAM,1000,10,00,TRY,NT30,0.0,TR,2021-12-04,F,66.0,Credit Card,False,missing first_name
