customer_id,first_name,last_name,street,city,region,postal_code,country,phone,email,tax_id,account_group,sales_org,distribution_channel,division,currency,payment_terms,credit_limit,language,created_date,gender,age,payment_method
C319333,Allison,Benson,6780 Victor Street,East Sylviaport,Cristianview,68969,FR,+1 769-768-4617,allison.benson@outlook.com,FR61777152078,Z001,1000,20,00,EUR,NT00,0,EN,03/12/2020,Female,29.0,Cash
C882327,Çetinsu,Akçay,1801 Karadeniz Island Suite 495,Antalya,Black Sea,46114,TR,+90 521 449 6506,çetinsu.akçay@hotmail.com,25990200949,Z001,1000,20,10,TRY,NT60,5000,TR,05/12/2024,Female,46.0,Cash
C112124,Galina,Gieß,Volkhard-Caspar-Weg 6260,Eisenberg,Thüringen,76069,DE,+49 164 3830571,galina.gieß@hotmail.com,88056113354,Z001,2000,10,00,EUR,NT00,0,DE,2023-09-26,Male,62.0,Credit Card
C341690,Cuheyna,Manço,693 Kasim Locks Suite 929,Konya,Black Sea,61222,TR,+90 505 737 5296,cuheyna.manço@outlook.com,28346732474,Z001,1000,10,10,TRY,NT30,0,TR,2022-10-29,Female,38.0,Cash
C309733,Thomas,Yates,598 Crystal Shores,Morahaven,New Amandaton,03837,FR,+1 634-291-8165,thomas.yates@icloud.com,FR73406477242,Z001,1000,10,00,EUR,NT15,0,EN,2023-07-07,female,50.0,Cash
C322085,Rose,Gonzalez,4169 Linda Groves Suite 009,Ethanchester,Campbellshire,98600,FR,248-526-5942,rose.gonzalez@hotmail.com,FR62659656683,Z001,1000,10,00,EUR,NT45,50000,EN,2020/12/22,Female,44.0,Credit Card
C164641,Nüdret,Çorlu,956 Alize Neck,Bursa,Mediterranean,83137,TR,+90 599 521 9225,nüdret.çorlu@outlook.com,68778886591,Z001,2000,10,10,TRY,NT00,10000,TR,01-03-2024,Female,46.0,Credit Card
C202004,Işin,Bilge,08858 Şemsettin Stravenue Suite 089,Istanbul,Aegean,76300,TR,+90 564 691 4420,işin.bilge@outlook.com,80771435708,Z001,1000,10,00,TRY,NT45,5000,TR,2023-03-13,Female,24.0,Cash
C162292,Ortwin,Noack,Eleonore-Haering-Weg 1-8,Sondershausen,Sachsen,96532,DE,+49 150 4160876,ortwin.noack@hotmail.com,31619626308,Z001,1000,10,10,EUR,NT45,1000,DE,2021-10-27,Female,25.0,Cash
C265239,Tercan,Fırat,3700 Bilgin Mill,Adana,,01064,TR,?,tercan.fırat@hotmail.com,37835189861,Z001,3000,20,00,TRY,NT45,10000,TR,2020-06-20,Female,30.0,Cash
C339091,Bağdat,Demir,07028 Zengin Stravenue Apt. 847,Adana,-,26086,TR,+90 563 837 3600,bağdat.demir@gmail.com,43186136739,Z002,1000,10,10,TRY,NT15,1000,TR,2024/02/04,Female,31.0,Credit Card
C261391,Şevketfeza,Şafak,555 Gül Forks Apt. 934,Izmir,Mediterranean,62559,TR,+90 503 929 3742,şevketfeza.şafak@icloud.com,00416683201,Z002,1000,10,00,TRY,NT00,0,TR,2022-02-16,Female,67.0,Cash
C236060,Songül,Textor,Süßebierstr. 652,Olpe,Saarland,18696,DE,161.960.6402,songül.textor@icloud.com,20464488285,Z001,1000,10,00,EUR,NT45,0,DE,2022-08-22,Male,46.0,Cash
C659680,Nas,Akdeniz,4166 Kısakürek Crest Apt. 676,Bursa,Central Anatolia,95422,TR,+90 509 190 6528,,11642201227,ZKAM,2000,20,00,TRY,NT00,5000,TR,2020-01-27,Female,48.0,Credit Card
C265803,Henife,Gülen,4456 Çaltı Trail Apt. 132,Ankara,Black Sea,32021,TR,+90 543 657 3701,Henife.Gülen@Hotmail.Com,62184519113,ZKAM,1000,20,00,TRY,NT45,25000,TR,2022-08-11,Female,29.0,Cash
C302069,Nicole,Hatfield,48251 Karen Roads Apt. 946,North Lisa,North Laurieland,80856,FR,n/a,n/a,FR82803906347,ZKAM,2000,10,00,EUR,NT00,0,EN,2022-04-01,Female,53.0,Cash
C297352,Özbay,Şensoy,465 Demir Corner,Ankara,Mediterranean,59174,TR,0578 707 6109,özbay.şensoy@yahoo.com,47068763176,Z001,3000,20,00,TRY,NT00,10000,TR,2021-10-07,Male,57.0,Debit Card
C199257,Rigo,Trüb,Annelene-Lindner-Platz 475,Tirschenreuth,Nordrhein-Westfalen,76851,DE,+49 177 8869657,rigo.trüb@icloud.com,76802808616,ZKAM,1000,10,00,EUR,NT00,1000,DE,2022-10-11,Female,45.0,Debit Card
C277828,Akkerman,Yorulmaz,095 Çamurcuoğlu Ridges Suite 987,Izmir,Aegean,78762,TR,+90 541 681 9586,akkerman.yorulmaz@gmail.com,68267054444,Z001,1000,10,00,TRY,NT00,5000,TR,2021-05-14,Male,36.0,Credit Card
C167315,  Nelli ,Schacht,Kranzring 18-87,Einbeck,Berlin,45971,DE,1764229415,nelli.schacht@outlook.com,06130776621,Z001,2000,20,00,EUR,NT00,1000,DE,2022-03-15,Female,60.0,Cash
C322267,İlbek,Erdoğan,2982 Mansız Path Suite 714,Izmir,Central Anatolia,65059,TR,+90 507 807 6725,İLBEK.ERDOĞAN@YAHOO.COM,49404620576,Z002,1000,10,00,TRY,NT15,0,TR,2024-07-11,MALE,43.0,Credit Card
C226129,Yolal,Arsoy,822 Erginel Way Apt. 742,Izmir,Mediterranean,21258,TR,+90 589 926 6710,yolal.arsoyicloud.com,70714336537,Z001,1000,10,00,TRY,NT60,1000,TR,2024-07-07,Female,56.0,Cash
C107653,Sarya,Hayrioğlu,241 Mehmetzahir Run,Adana,Mediterranean,47499,TR,+90 580 639 3481,sarya.hayrioğlu@gmail.com,77851072424,Z001,1000,10,00,TRY,NT15,10000.0,TR,2020-07-24,Male,46.0,Debit Card
C222667,Seyfullah,Manço,51199 Üsame Greens Apt. 146,Adana,Mediterranean,27796,tr,(552) 599-2439,SEYFULLAH.MANÇO@HOTMAIL.COM,12953981505,Z001,2000,20,00,TRY,NT00,25000,TR,2023-11-15,2,64.0,Cash
C326620,Müzekker,Bilge,6467 Baydu Corner,Bursa,Marmara,76076,TR,+90 531 301 5558,müzekker.bilge@hotmail.com,58752881498,Z001,2000,10,00,TRY,NT00,50000,TR,2024-09-11,Male,37.0,Cash
C253927,Övün,Ertaş,1231 Özbay Knolls Apt. 283,Ankara,Black Sea,60884,TR,,övün.ertaş@hotmail.com,46239072975,ZKAM,1000,10,10,TRY,NT00,10000,TR,22.02.2022,Male,69.0,Cash
